booth_id,booth_name,short_description,long_description,tags,color,cm,has_website
class-h1a,元祖洋二郎系ラーメンすみ軒,我らが担任松村洋二郎先生監修。あ、ついに！男たちの圧で作ったあっつあつのラーメンでほっとしてみたら？グラウンドに集まれ！,ずっとラーメンを作りたかった。もう一つの夢だった。星光時代、どんな時もラーメンを食べれば元気になった。そんな僕らがたどり着いた最高の一杯。一日限りの僕たちだけのラーメン、その名を「洋二郎系ラーメン」ここに開店。,食品,random,true,true
volu-03,外国語展,言語同好会外国語班です。世界のさまざまな言語に関する展示をします。面白い記事がたくさんあるからぜひ来て下さい！,言語同好会外国語班の人たちが書いた面白い記事がたくさんあります！言語は僕たちと世界中のあらゆる人たちを繋ぎ、この世界をもっと面白く見ることの出来る魔法の道具です。その国の文化、歴史、価値観を知り、生活をもっと豊かにしましょう！,"展示, 部誌販売(配布)",random,false,true
club-11,地歴部展示　〜日本百名城〜,テーマは日本百名城！レポートの展示、クイズ、無料部誌配布を行っています。社会科好き必見！ぜひ足を運んでみてください！,地歴部は毎年テーマを決め、フィールドワークを行っています。今年のテーマは日本百名城です！各自がまとめたレポートの展示・クイズ・部誌配布を行っています(部誌無料！！)。城好き・社会科好き必見！ぜひ足を運んでみてください！,"ゲーム・体験, 展示, 部誌販売(配布)",yellow_green,false,true
class-m3d,ダーツの達人,誰でもダーツを楽しめる施設を企画しました。難易度を4段階に分けたので初心者から上級者まで楽しめます。ぜひ中3-Dまで！,誰でもお手軽にダーツを楽しめる施設を企画しました。難易度を4段階に分けたので、初心者から上級者まで大歓迎！もちろん豪華景品も用意しています！少しでも興味を持ったらぜひ中学棟4階3-Dの教室までお越しください‼︎,ゲーム・体験,random,true,false
club-21,プチステンドグラス製作体験,"ここでは美しい(かもしれない)ものを見、作ることができます。\n他にも物理に関する展示などもみれます。ぜひきてください。",こんにちは物理部です。ここではあっ！と驚く（かもしれない）展示とあっ！と感動できる（かもしれない）ステンドグラス（かもしれないもの？）が作れます。物理に興味のある方、材質に興味のある方はぜひ高校棟3階特別第五教室へきてください。待ってます。,"ゲーム・体験, 展示, 販売, 部誌販売(配布)",blue,false,true
club-10,んけうすproject2025,毎年恒例の部員が作ったゲームを販売する企画です。無料でも遊べるので、ぜひ寄って行ってください！※今年は数学はありません。,部員が作ったＰＣゲームを遊べます！！アクションゲームとかバトルシミュレーターゲームとかあります！！ＣＤを買えば家でも遊べます！！（激安）楽しいはずなので来てください！！！…え？数学の問題を解く企画は？チョットナニイッテルカワカラナイデス…,"ゲーム・体験, 販売, 部誌販売(配布)",blue,true,true
class-m3b,フリースロー,ボールを投げて、ゴールを狙おう！近距離・中距離・遠距離の3つの距離から選べます。入った数に応じて景品があるよ。来てね,バスケが得意じゃなくても大丈夫！近距離・中距離・遠距離の3つの距離から選べます。気軽にボールを投げてゴールを狙ってみよう！入った数に応じて景品も用意しているよ。ぜひ気軽に立ち寄ってチャレンジしてみてね。お待ちしています！,ゲーム・体験,random,true,true
volu-01,ジェットコースター・メリーゴーランド,今年も膨大な時間と労力をかけて作った超大作、ジェットコースターとメリーゴーランドをやります！とくとご堪能あれ！,やっぱりね、文化祭に大がかりな目玉企画って必要だと思うんですよね。今年は去年からさらに進化を遂げたジェットコースターに、メリーゴーランドまで作っちゃいました。長い時間かけて作り上げたアトラクションを、ぜひご堪能あれ！,アトラクション,random,false,true
club-05,ピンポン玉こんにゃく,私達卓球部は日頃の練習で培ったピンポン球に対する繊細なタッチで玉こんにゃくを作ります。ぜひご賞味ください。,私達卓球部はピンポン玉(球)との「玉」繋がりでたまこんにゃくを提供することにしました。玉こんにゃくを文化祭で提供するのはかなり珍しいと思います。ですが、玉こんにゃくを好きな人は必ずたくさんいると信じています。ぜひ、お越しください。,食品,random,false,true
volu-16,ワタ芸〜極Orange〜,高2の修学旅行を経てSFでもやることになりました。ヲタ芸を見れるのは、最初で最後だと思うのでぜひ見に来てください。,高二の修学旅行で大成功(？)を収めたので最後のSFでもやることになりました。ヲタ芸を生で見ることができるのは、人生でこれが最初で最後の機会だと思うのでぜひ見に来てください。最後のSFで有終の美を飾れるよう頑張ります。,パフォーマンス,orange,true,true
